GeoType,GeogName,GeoID,Borough,MdHHIncE,Pop16plE
NTA2010,park-cemetery-etc-Bronx,BX99,The Bronx,"47,979","1,414"
NTA2010,Parkchester,BX46,The Bronx,"50,466","24,963"
NTA2010,Pelham Bay-Country Club-City Island,BX10,The Bronx,"64,636","22,024"
NTA2010,Pelham Parkway,BX49,The Bronx,"54,087","24,235"
NTA2010,Rikers Island,BX98,The Bronx,,"7,503"
NTA2010,Schuylerville-Throgs Neck-Edgewater Park,BX52,The Bronx,"69,686","38,839"
NTA2010,Soundview-Bruckner,BX55,The Bronx,"29,638","28,503"
NTA2010,Soundview-Castle Hill-Clason Point-Harding Park,BX09,The Bronx,"35,771","44,333"
NTA2010,Spuyten Duyvil-Kingsbridge,BX29,The Bronx,"68,776","25,714"
NTA2010,University Heights-Morris Heights,BX36,The Bronx,"22,776","41,746"
NTA2010,Van Cortlandt Village,BX28,The Bronx,"42,564","40,030"
NTA2010,Van Nest-Morris Park-Westchester Square,BX37,The Bronx,"46,002","22,731"
NTA2010,West Concourse,BX63,The Bronx,"26,520","28,216"
NTA2010,West Farms-Bronx River,BX08,The Bronx,"29,306","27,277"
NTA2010,Westchester-Unionport,BX59,The Bronx,"43,412","22,508"
NTA2010,Williamsbridge-Olinville,BX44,The Bronx,"40,791","50,582"
NTA2010,Woodlawn-Wakefield,BX62,The Bronx,"57,189","35,865"
,,,,,
,,,,,
